# 形码码表：词	编码	词频。词频由青简词库按词面回填（不是码表自带的权重），出处见 assets/wubi/README.md
工	a	14141
戈	a	9673
式	aa	48159
戒	aa	7463
工	aaa	14141
工	aaaa	14141
恭恭敬敬	aaaa	1
工期	aaad	387
黄花菜	aaae	180
工巧	aaag	17
葡萄牙	aaah	1
花花世界	aaal	180
工艺	aaan	2813
工区	aaaq	111
工匠	aaar	640
菚	aaar	1
工薪	aaau	20
斯蒂芬	aaaw	937
劳苦功高	aaay	6
式子	aabb	124
草草了事	aabg	9
茕茕孑立	aabu	13
戒除	aabw	55
落落难合	aacw	1
匞	aad	1
葚	aad	1
工友	aadc	224
蘛	aade	1
工厂	aadg	7772
落荒而逃	aadi	82
藄	aadi	1
匿	aadk	471
花花太岁	aadm	1
慝	aadn	6
葚	aadn	1
茙	aadr	1
落花有意	aadu	28
萁	aadw	164
落落大方	aady	38
花花肠子	aaeb	24
勤工助学	aaei	12
节节胜利	aaet	1
薄荷脑	aaey	2
苷	aaf	254
工地	aafb	2314
工运	aafc	119
甙	aafd	1
苷	aaff	254
葡萄干	aafg	455
苏东坡	aafh	1
工场	aafn	989
蘜	aafo	1
攻其无备	aaft	1
工夫	aafw	275
落花无言	aafy	1
甘苦与共	aaga	4
工致	aagc	1
工于	aagf	73
工工整整	aagg	1
工整	aagk	286
戒严	aago	488
工残	aagq	1
攻其不备	aagt	11
恭敬不如从命	aagw	39
戒毒	aagx	170
七七事变	aagy	1
芽	aah	2539
菣	aahc	1
茝	aahh	4
工卡	aahh	1
茞	aahh	1
工频	aahi	1
藍	aahl	1
藖	aahm	1
虦	aahm	1
芽	aaht	2539
工具	aahw	7223
蕥	aahy	1
莘莘学子	aaib	47
芽尖	aaid	1
卧薪尝胆	aaie	58
工潮	aaif	150
区区小事	aaig	3
落花流水	aaii	74
工党	aaip	2531
葡萄酒	aais	1591
牙牙学语	aaiy	7
工时	aajf	486
蒸蒸日上	aajh	107
剗	aajh	1
工日	aajj	5
工蜂	aajt	48
工蚁	aajy	172
戒	aak	7463
蓳	aakg	1
工艺品	aakk	375
蓲	aakk	1
盞	aalf	1
工架	aalk	1
工力	aalt	3
工贼	aama	13
蘳	aamf	1
蘣	aamg	1
黄花岗	aamm	1
戒网	aamq	1
节节败退	aamv	85
蒆	aamv	1
茿	aamy	1
苣	aan	30
苣	aanf	30
戒惧	aanh	1
草草收兵	aanr	7
葉	aans	1
戒心	aany	108
散散心	aany	1
工业	aaog	14925
戒烟	aaol	1007
工料	aaou	14
葡萄糖	aaoy	315
工农	aape	1172
敬若神明	aapj	1
菠萝蜜	aapn	380
切切实实	aapp	1
苉	aaqb	4
茫茫然	aaqd	1
工钱	aaqg	14
蔕	aaqh	1
匿名	aaqk	1029
工贸	aaqy	111
戔	aar	1
匿报	aarb	4
工兵	aarg	645
戒掉	aarh	611
芭蕾舞	aarl	785
熙熙攘攘	aarr	36
芽接	aaru	1
戒指	aarx	3396
工模	aasa	1
工棚	aase	30
工本	aasg	3
花草树木	aass	1
式样	aasu	253
荛	aat	62
工长	aata	32
工行	aatf	5
警匪片	aath	43
蓬荜生辉	aati	26
工程	aatk	30482
戒备	aatl	769
式微	aatm	206
蘙	aatn	1
荛	aatq	62
戒条	aats	1
工笔	aatt	112
莫斯科	aatu	6733
工科	aatu	1321
戒律	aatv	243
切切私语	aaty	1
芅	aau	1
工头	aaud	243
工装	aauf	278
工单	aauj	1
工间	aauj	1
工部	aauk	1769
工商	aaum	2959
工资	aauq	13120
欺世盗名	aauq	16
黄花闺女	aauv	15
苆	aavb	1
戒刀	aavn	1
勤勤恳恳	aavv	83
花花公子	aawb	192
工段	aawd	34
工会	aawf	3712
